name	ena_id	assay_name	lab	lab_code	pop	kgp_phase1	kgp_phase3
NA06986	ERR188213	NA06986.2.M_111215_4	CNAG_CRG	2	CEU	1	1
NA06989	ERR188202	NA06989.3.M_120202_7	MPIMG	3	CEU	1	1
NA06994	ERR188047	NA06994.2.M_111215_7	CNAG_CRG	2	CEU	1	1
NA07037	ERR188376	NA07037.6.M_120119_4	UU	6	CEU	1	1
NA07048	ERR188481	NA07048.6.M_120119_6	UU	6	CEU	1	1
NA07051	ERR188474	NA07051.5.M_120131_1	HMGU	5	CEU	1	1
NA07056	ERR188027	NA07056.1.M_111124_3	UNIGE	1	CEU	1	1
NA07346	ERR188135	NA07346.2.M_111215_7	CNAG_CRG	2	CEU	0	0
NA07347	ERR188324	NA07347.7.M_120219_3	LUMC	7	CEU	1	1
NA07357	ERR188176	NA07357.2.M_111216_5	CNAG_CRG	2	CEU	1	1
NA10847	ERR188101	NA10847.4.M_120208_4	ICMB	4	CEU	1	1
NA10851	ERR188389	NA10851.4.M_120208_1	ICMB	4	CEU	1	1
NA11829	ERR188433	NA11829.6.M_120217_1	UU	6	CEU	1	1
NA11830	ERR188435	NA11830.3.M_120202_4	MPIMG	3	CEU	1	1
NA11831	ERR188067	NA11831.7.M_120219_2	LUMC	7	CEU	1	1
NA11832	ERR188217	NA11832.2.M_120131_2	CNAG_CRG	2	CEU	0	1
NA11840	ERR188246	NA11840.6.M_120119_5	UU	6	CEU	0	1
NA11843	ERR188426	NA11843.4.M_120208_6	ICMB	4	CEU	1	1
NA11881	ERR188272	NA11881.1.M_111124_5	UNIGE	1	CEU	0	1
NA11892	ERR188086	NA11892.1.M_111124_2	UNIGE	1	CEU	1	1
NA11893	ERR188077	NA11893.7.M_120219_3	LUMC	7	CEU	1	1
NA11894	ERR188122	NA11894.2.M_111215_4	CNAG_CRG	2	CEU	1	1
NA11918	ERR188161	NA11918.1.M_111124_3	UNIGE	1	CEU	0	1
NA11920	ERR188371	NA11920.2.M_120131_1	CNAG_CRG	2	CEU	1	1
NA11930	ERR188235	NA11930.3.M_120202_8	MPIMG	3	CEU	1	1
NA11931	ERR188049	NA11931.1.M_111124_8	UNIGE	1	CEU	1	1
NA11992	ERR188062	NA11992.6.M_120119_5	UU	6	CEU	1	1
NA11993	ERR188233	NA11993.2.M_111216_4	CNAG_CRG	2	CEU	1	0
NA11994	ERR188301	NA11994.2.M_111216_7	CNAG_CRG	2	CEU	1	1
NA11995	ERR188348	NA11995.7.M_120219_5	LUMC	7	CEU	1	1
NA12004	ERR188336	NA12004.4.M_120208_5	ICMB	4	CEU	1	1
NA12005	ERR188058	NA12005.4.M_120208_1	ICMB	4	CEU	0	1
NA12006	ERR188076	NA12006.5.M_120131_1	HMGU	5	CEU	1	1
NA12043	ERR188414	NA12043.2.M_120127_7	CNAG_CRG	2	CEU	1	1
NA12044	ERR188229	NA12044.4.M_120208_8	ICMB	4	CEU	1	1
NA12045	ERR188377	NA12045.3.M_120202_3	MPIMG	3	CEU	1	1
NA12058	ERR188415	NA12058.5.M_120131_7	HMGU	5	CEU	1	1
NA12144	ERR188039	NA12144.4.M_120208_1	ICMB	4	CEU	1	1
NA12154	ERR188172	NA12154.5.M_120131_3	HMGU	5	CEU	1	1
NA12155	ERR188331	NA12155.4.M_120208_8	ICMB	4	CEU	1	1
NA12156	ERR188410	NA12156.4.M_120208_7	ICMB	4	CEU	0	1
NA12234	ERR188177	NA12234.7.M_120219_6	LUMC	7	CEU	0	1
NA12249	ERR188319	NA12249.1.M_120209_1	UNIGE	1	CEU	1	1
NA12272	ERR188438	NA12272.3.M_120202_5	MPIMG	3	CEU	1	1
NA12273	ERR188431	NA12273.1.M_111124_4	UNIGE	1	CEU	1	1
NA12275	ERR188032	NA12275.7.M_120219_5	LUMC	7	CEU	1	1
NA12282	ERR188148	NA12282.3.M_120202_7	MPIMG	3	CEU	1	1
NA12283	ERR188262	NA12283.2.M_111216_5	CNAG_CRG	2	CEU	1	1
NA12286	ERR188467	NA12286.2.M_111216_1	CNAG_CRG	2	CEU	1	1
NA12287	ERR188142	NA12287.3.M_120202_3	MPIMG	3	CEU	1	1
NA12340	ERR188277	NA12340.5.M_120131_7	HMGU	5	CEU	1	1
NA12341	ERR188388	NA12341.1.M_111124_5	UNIGE	1	CEU	1	1
NA12342	ERR188107	NA12342.1.M_111124_5	UNIGE	1	CEU	1	1
NA12347	ERR188446	NA12347.1.M_111124_7	UNIGE	1	CEU	1	1
NA12348	ERR188441	NA12348.3.M_120202_6	MPIMG	3	CEU	1	1
NA12383	ERR188396	NA12383.1.M_111124_3	UNIGE	1	CEU	1	1
NA12399	ERR188350	NA12399.1.M_120209_4	UNIGE	1	CEU	1	1
NA12400	ERR188220	NA12400.2.M_111216_2	CNAG_CRG	2	CEU	1	1
NA12413	ERR188181	NA12413.2.M_111215_6	CNAG_CRG	2	CEU	1	1
NA12489	ERR188048	NA12489.1.M_111124_2	UNIGE	1	CEU	1	1
NA12546	ERR188092	NA12546.3.M_120202_4	MPIMG	3	CEU	1	1
NA12716	ERR188140	NA12716.7.M_120219_6	LUMC	7	CEU	1	1
NA12717	ERR188196	NA12717.1.M_111124_3	UNIGE	1	CEU	1	1
NA12718	ERR188244	NA12718.1.M_111124_7	UNIGE	1	CEU	1	1
NA12749	ERR188024	NA12749.1.M_111124_2	UNIGE	1	CEU	1	1
NA12750	ERR188404	NA12750.2.M_111216_2	CNAG_CRG	2	CEU	1	1
NA12751	ERR188152	NA12751.2.M_111215_8	CNAG_CRG	2	CEU	1	1
NA12760	ERR188308	NA12760.3.M_120202_3	MPIMG	3	CEU	0	1
NA12761	ERR188061	NA12761.6.M_120119_2	UU	6	CEU	1	1
NA12762	ERR188100	NA12762.4.M_120208_3	ICMB	4	CEU	0	1
NA12763	ERR188420	NA12763.2.M_111216_8	CNAG_CRG	2	CEU	1	1
NA12775	ERR188354	NA12775.7.M_120219_5	LUMC	7	CEU	1	1
NA12776	ERR188279	NA12776.6.M_120119_6	UU	6	CEU	0	1
NA12777	ERR188256	NA12777.4.M_120208_6	ICMB	4	CEU	1	1
NA12778	ERR188477	NA12778.1.M_111124_4	UNIGE	1	CEU	1	1
NA12812	ERR188022	NA12812.1.M_111124_4	UNIGE	1	CEU	1	1
NA12813	ERR188291	NA12813.2.M_111216_6	CNAG_CRG	2	CEU	0	1
NA12814	ERR188081	NA12814.7.M_120219_3	LUMC	7	CEU	1	1
NA12815	ERR188339	NA12815.1.M_111124_3	UNIGE	1	CEU	1	1
NA12827	ERR188134	NA12827.3.M_120202_2	MPIMG	3	CEU	1	1
NA12829	ERR188228	NA12829.7.M_120219_4	LUMC	7	CEU	1	1
NA12830	ERR188051	NA12830.1.M_111124_2	UNIGE	1	CEU	1	1
NA12842	ERR188349	NA12842.6.M_120119_4	UU	6	CEU	1	1
NA12843	ERR188099	NA12843.6.M_120119_4	UU	6	CEU	1	1
NA12872	ERR188157	NA12872.2.M_111216_2	CNAG_CRG	2	CEU	1	1
NA12873	ERR188216	NA12873.7.M_120219_1	LUMC	7	CEU	1	1
NA12874	ERR188227	NA12874.3.M_120202_2	MPIMG	3	CEU	1	1
NA12889	ERR188429	NA12889.3.M_120223_7	MPIMG	3	CEU	1	1
NA12890	ERR188413	NA12890.1.M_111124_3	UNIGE	1	CEU	1	1
NA18486	ERR188214	NA18486.7.M_120219_4	LUMC	7	YRI	1	1
NA18487	ERR188143	NA18487.6.M_120119_5	UU	6	YRI	1	0
NA18488	ERR188311	NA18488.4.M_120208_7	ICMB	4	YRI	0	1
NA18489	ERR188151	NA18489.2.M_111216_1	CNAG_CRG	2	YRI	1	1
NA18498	ERR188044	NA18498.2.M_120131_1	CNAG_CRG	2	YRI	1	1
NA18499	ERR188449	NA18499.1.M_111124_2	UNIGE	1	YRI	1	1
NA18502	ERR188158	NA18502.7.M_120219_8	LUMC	7	YRI	1	1
NA18505	ERR188273	NA18505.3.M_120202_1	MPIMG	3	YRI	1	1
NA18508	ERR188162	NA18508.1.M_111124_1	UNIGE	1	YRI	1	1
NA18510	ERR188165	NA18510.3.M_120202_7	MPIMG	3	YRI	1	1
NA18511	ERR188097	NA18511.7.M_120219_2	LUMC	7	YRI	1	1
NA18517	ERR188060	NA18517.3.M_120202_1	MPIMG	3	YRI	1	1
NA18519	ERR188200	NA18519.1.M_111124_3	UNIGE	1	YRI	1	1
NA18520	ERR188085	NA18520.1.M_111124_1	UNIGE	1	YRI	1	1
NA18858	ERR188375	NA18858.2.M_111216_8	CNAG_CRG	2	YRI	1	1
NA18861	ERR188278	NA18861.1.M_120209_2	UNIGE	1	YRI	1	1
NA18867	ERR188298	NA18867.1.M_111124_2	UNIGE	1	YRI	1	1
NA18868	ERR188344	NA18868.5.M_120131_3	HMGU	5	YRI	1	1
NA18870	ERR188373	NA18870.6.M_120119_4	UU	6	YRI	1	1
NA18873	ERR188313	NA18873.4.M_120208_7	ICMB	4	YRI	1	1
NA18907	ERR188283	NA18907.6.M_120217_1	UU	6	YRI	1	1
NA18908	ERR188223	NA18908.7.M_120219_7	LUMC	7	YRI	1	1
NA18909	ERR188352	NA18909.4.M_120208_8	ICMB	4	YRI	1	1
NA18910	ERR188442	NA18910.3.M_120202_7	MPIMG	3	YRI	1	1
NA18912	ERR188182	NA18912.7.M_120219_3	LUMC	7	YRI	1	1
NA18916	ERR188269	NA18916.2.M_111215_6	CNAG_CRG	2	YRI	1	1
NA18917	ERR188139	NA18917.1.M_111124_5	UNIGE	1	YRI	1	1
